pathway	old_NES	old_padj	new_NES	new_padj	file	complete_pair	significance_state
HALLMARK_FATTY_ACID_METABOLISM	-1.05106788211223	0.422641509433962	-1.0666048279554	0.416179337231969	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_G2M_CHECKPOINT	1.76636023140657	0.0009293040758934	1.73664726871375	0.000799968103473	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_GLYCOLYSIS	-1.16064894152859	0.238339552238806	-1.17612233844013	0.19607295737949	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_HEDGEHOG_SIGNALING	0.732185306080343	0.921716602838477	0.723682124489852	0.931931931931932	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_HEME_METABOLISM	0.907945414954797	0.79411408990123	0.892310935833661	0.834236493044322	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_HYPOXIA	1.73892213083927	0.0011230483375587	1.70070128728703	0.0011238047899922	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_IL2_STAT5_SIGNALING	1.99438746229868	3.381229688718e-05	1.94269164054071	1.54788591715903e-05	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_IL6_JAK_STAT3_SIGNALING	1.49363784672337	0.082812237856006	1.43954466517779	0.110770224446956	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_INFLAMMATORY_RESPONSE	1.74921252669102	0.0034217404170302	1.77270135035777	0.0011238047899922	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_INTERFERON_ALPHA_RESPONSE	2.25113108237401	1.30683883357309e-06	2.21731985364626	9.89088053842898e-07	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_INTERFERON_GAMMA_RESPONSE	2.21475261255976	3.51275952476137e-08	2.16489137220995	1.12679590880283e-08	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_KRAS_SIGNALING_DN	1.69299471363659	0.0133883469857149	1.67896221923397	0.0130555173602178	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_KRAS_SIGNALING_UP	1.69558963809082	0.0090560197434898	1.68228430754337	0.0020282070144318	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_MITOTIC_SPINDLE	1.48041315421936	0.0249654079481283	1.45055136447071	0.0155387950041345	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_MTORC1_SIGNALING	1.66747299636908	0.0029010863762135	1.61580767803823	0.0022504572032167	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_MYC_TARGETS_V1	0.67501033186907	1.0	0.672320877025543	1.0	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_MYC_TARGETS_V2	1.09349790852439	0.423884111384111	1.06845176200143	0.43987326580577	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_MYOGENESIS	1.28878414299189	0.152455977757183	1.25532831176451	0.1960505937016	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_NOTCH_SIGNALING	0.990309320911481	0.59859513386949	0.969242136001479	0.630618517095659	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_OXIDATIVE_PHOSPHORYLATION	-1.25637014541648	0.140984654731458	-1.25847339053011	0.0606097542882436	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_P53_PATHWAY	1.41909149284846	0.0249654079481283	1.38355868041532	0.0223770526430545	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_PEROXISOME	-0.935220802642102	0.753257671290458	-0.961451756755933	0.703946172031278	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_PI3K_AKT_MTOR_SIGNALING	1.22468013093671	0.238339552238806	1.2168088093333	0.256706966033391	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_PROTEIN_SECRETION	-0.719228818586823	1.0	-0.766054212707547	0.966268811624287	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	-1.22979904329207	0.238339552238806	-1.2466974420442	0.221352205993073	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_SPERMATOGENESIS	-0.564860592940972	1.0	-0.601171476510128	1.0	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_TGF_BETA_SIGNALING	1.76957023139107	0.0062223158443944	1.7438149191465	0.0078468427280562	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_TNFA_SIGNALING_VIA_NFKB	2.77139642465565	7.013132583888979e-18	2.72763808289125	1.40662753209305e-18	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	0.805256882914091	0.921716602838477	0.778769183588284	0.955826379739423	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_UV_RESPONSE_DN	1.47005348467908	0.0249654079481283	1.45506508716534	0.0214347887539033	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_UV_RESPONSE_UP	1.84543298104816	0.0004674363536263	1.80026417518031	0.0003183452495124	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_WNT_BETA_CATENIN_SIGNALING	1.79900091681281	0.0124218481958323	1.75280771875117	0.0067649474044961	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained significant
HALLMARK_XENOBIOTIC_METABOLISM	1.14244063977787	0.316903979554582	1.10683000741575	0.366319102891993	GSEA_Hallmark_ACKR1_endothelial_nonDM_ED_vs_normal.tsv	True	Retained non-significant
HALLMARK_ADIPOGENESIS	1.73398264330097	0.000106468902907	1.67929158364075	0.0002900305401969	GSEA_Hallmark_fibroblast_DMED_vs_normal.tsv	True	Retained significant
HALLMARK_ALLOGRAFT_REJECTION	1.13609166863019	0.238741369241867	1.16078173332169	0.225563909774436	GSEA_Hallmark_fibroblast_DMED_vs_normal.tsv	True	Retained non-significant
HALLMARK_ANDROGEN_RESPONSE	2.25780194722913	7.67489189248498e-08	2.22671447776056	1.66987602356325e-07	GSEA_Hallmark_fibroblast_DMED_vs_normal.tsv	True	Retained significant
