gene_symbol	logFC	P.Value	adj.P.Val	dataset	FDR_lt_0_05
SLC36A4	0.961274925893954	0.0009294269658224	0.128012237155522	GSE243023	False
CSNK1G1	0.53611909646319	0.000933885204664	0.128012237155522	GSE243023	False
FN3KRP	-0.644178261837642	0.0009348238500402	0.128012237155522	GSE243023	False
LURAP1L	1.20647934256943	0.000944455261706	0.128012237155522	GSE243023	False
WWC2	0.768546508998091	0.0009728112749933	0.129406956808597	GSE243023	False
LNX2	0.935317827069508	0.0009763611922462	0.129406956808597	GSE243023	False
ITPR1	0.776162816597778	0.0009839721928531	0.129406956808597	GSE243023	False
SLC4A3	-2.25224071086513	0.0010156120500312	0.130055993128927	GSE243023	False
KIF18B	-0.808880624040723	0.0010283035234344	0.130055993128927	GSE243023	False
LRP5	-1.18715334514835	0.0010287261190794	0.130055993128927	GSE243023	False
ZNF605	0.564586876221876	0.0010378225940415	0.130055993128927	GSE243023	False
LNPEP	0.78106821923144	0.0010378630784963	0.130055993128927	GSE243023	False
KIF22	-0.863205336920569	0.0010660280766887	0.132336924697727	GSE243023	False
BHLHA15	-1.63181387554634	0.0010873851695571	0.133120286219141	GSE243023	False
TUBA1B	-0.526191690955564	0.0011102395375327	0.133120286219141	GSE243023	False
MCTP1	0.714037632193281	0.0011133922477083	0.133120286219141	GSE243023	False
FOXRED1	-0.628415047484656	0.0011221739446538	0.133120286219141	GSE243023	False
SH2B1	-0.756576052734422	0.0011240212324915	0.133120286219141	GSE243023	False
MED13L	0.612787051922898	0.0011324694980624	0.133120286219141	GSE243023	False
TUBB3	-1.1957630969094	0.0011538937186533	0.134186099643873	GSE243023	False
IGHMBP2	-0.640764211915589	0.0011760084029092	0.134186099643873	GSE243023	False
HIPK3	0.728274646297404	0.001181968138206	0.134186099643873	GSE243023	False
NBEAL2	-0.760909302964921	0.0011895003984688	0.134186099643873	GSE243023	False
SDC2	0.830180567134034	0.0011964344797406	0.134186099643873	GSE243023	False
USP34	0.542989531709856	0.0012021490519928	0.134186099643873	GSE243023	False
ARHGAP23	-0.602370655174645	0.0012144545337809	0.134429996435103	GSE243023	False
SAMD4A	0.928170702534777	0.0012394798706733	0.136066207621106	GSE243023	False
VPS25	-0.645089384072701	0.0012599436820302	0.136100330918451	GSE243023	False
IMPDH1	-0.766968651454461	0.0012653872087472	0.136100330918451	GSE243023	False
CBLL1	0.472531225066869	0.0012987495651577	0.136100330918451	GSE243023	False
NUFIP2	0.702457711463207	0.0013028207013271	0.136100330918451	GSE243023	False
CEBPG	0.553069922911445	0.0013063966110775	0.136100330918451	GSE243023	False
WDR43	0.446126250328097	0.0013071032928318	0.136100330918451	GSE243023	False
CASK	0.65716773264255	0.0013139598739585	0.136100330918451	GSE243023	False
EGLN3	1.99054521014808	0.001329712655159	0.136100330918451	GSE243023	False
