gene_symbol	strict_lodo_FDR_candidate	meta_FDR	GSE243023_logFC	GSE205050_logFC	GSE10723_logFC
FAM53C	False	0.0003451922147873	0.223431380220226	0.121441653773017	0.8366634015
ABL2	False	0.000368178901491	0.424892676445975	0.0654402298657839	0.83625479175
TMEM59	False	0.0003908193705453	0.359274294811412	0.374524228376499	0.3588866105
MRPS7	False	0.000417512713846	-0.389028728999369	-0.360460279784689	-0.242705925
MCM8	False	0.0004366926795861	-0.226915438028194	-0.880458072778608	-0.62268392475
PMF1	False	0.0004620967364753	-0.400607406900043	-0.222726462199546	-0.60613054425
HMGA1	False	0.0004680074528167	-1.14163830794065	-0.540963095859624	-0.0572201369999998
ANXA1	False	0.0004785592878234	0.231994488319861	0.118171780431592	1.57317015975
PMCH	False	0.0004854264845134	0.402048930754243	0.491417657243391	1.42016630675
RBM10	False	0.0004854264845134	-0.605382521828491	-0.454691826615759	-0.24360230075
HBEGF	False	0.000490301646943	0.480862386886984	0.669479470492422	0.2108551705
TALDO1	False	0.000507767691831	-0.588952942783353	-0.447879123626	-0.318393559750001
SLC12A2	False	0.0005199009350565	0.622866188119214	0.376855348188526	0.22732000975
FDPS	False	0.0005296568589393	-0.0022782528885532	-0.267181870842197	-0.826527624499999
DCBLD2	False	0.0005549775851136	0.705510851175228	0.116507880189825	0.84950776225
PFKP	False	0.0005549775851136	-0.392625920099811	-0.152639263592715	-0.919361329250001
TP53INP1	False	0.0005549775851136	0.186301798495134	0.249095213099891	0.8349123055
RHOJ	False	0.0005711081185734	0.21342176998718	0.547366965499078	0.3749982335
TANK	False	0.0005840140337273	0.614838485552909	0.931343507697467	0.206650337
SCARB2	False	0.0005859768646107	0.0709611636548502	0.473781505479243	0.35008721225
GNL3L	False	0.000590926470265	-0.0712603240050758	-0.257593486894602	-0.987806925999999
LRRC8C	False	0.0005956736897036	0.23930411680165	0.211268328503834	0.540338316
WDR18	False	0.0006480058927633	-0.547661965753641	-1.62763317345032	-0.72799356925
MRPL24	False	0.0006555856642746	-0.616561081840105	-0.153953527404805	-0.903119416
UBE2W	False	0.0006555856642746	0.386032923790635	0.168609012330529	0.74838477825
NPM3	False	0.0006675420308285	-0.671588012280338	-0.558582008721976	-0.10841219825
STX3	False	0.000687526666584	0.102674007010379	0.292287025368466	0.396881322
GMPS	False	0.0007003843575741	-0.151409606020387	-0.48787809678611	-0.27033525775
CCPG1	False	0.0007128172025572	0.259470861635488	0.317025838556527	0.3693990585
SAMM50	False	0.0008003845676603	-0.274396619700601	-0.154626524744988	-0.545024308
