gene_symbol	strict_lodo_FDR_candidate	meta_FDR	GSE243023_logFC	GSE205050_logFC	GSE10723_logFC
CHMP5	True	0.0004876902843774	0.251190247834677	0.209018863688546	0.6621048415
PRRC1	True	0.000490301646943	0.531142013024294	1.05729252920467	0.39903184725
RSL24D1	True	0.000490301646943	0.418486726507142	0.099225337812566	0.6800583735
VCAM1	True	0.000490301646943	1.24239735607179	0.371309147178829	0.497085207
TUBA1C	True	0.0004990967085412	-0.738363697165195	-0.936253225119403	-0.06574953325
ZFAND6	True	0.0004990967085412	0.271322040397198	0.148104631576228	0.54179462925
C19ORF12	True	0.0005199009350565	0.50405883637369	0.338980132247511	0.4172130655
SNRPB	True	0.0005296568589393	-0.281208435011105	-0.54378998327766	-0.4575829535
DNAJC3	True	0.000548042980164	0.625298607507501	0.206794527130659	0.2118941205
B3GLCT	True	0.0005635405384684	0.558712923543987	0.220101784177431	0.546778412
TM2D3	True	0.0005859768646107	0.370191147664083	0.391536537610993	0.39560657025
DST	True	0.0005896152054134	0.438344811613024	0.348456793378471	0.19054952125
ATAD1	True	0.0005917913612897	0.578867540662066	0.430307800296553	0.20110122025
ARMCX3	True	0.0006290475794328	0.318675870471913	0.433675641525671	0.24940287725
EOGT	True	0.0006415044664036	0.481236310108213	0.219009880453019	0.1640202835
SND1	True	0.0006415044664036	-0.24386891612561	-0.224388232798765	-0.38890332125
PDGFC	True	0.0006421303929482	0.804414409490087	0.449945615698863	0.4931972085
POLA2	True	0.0006434082713543	-0.218448121040933	-0.563370497585521	-0.7428843225
CABLES1	True	0.0007003843575741	0.218196673119793	0.340682487864956	0.45858193275
YIPF4	True	0.0007128172025572	0.68472393018799	0.130635823242221	0.4088222235
ASAP2	True	0.00073259704152	0.267212308455171	0.278414623738838	0.339249055
CCT3	True	0.0007492583667948	-0.341101778309461	-0.243617026827607	-0.319616835750001
BACH1	True	0.0007736333499225	0.687284724889911	0.250840497885693	0.65043269475
POLR2E	True	0.0007736333499225	-0.684161274766716	-0.28822980057913	-0.33849651525
