pathway	cell_type	endo243_NES	endo243_FDR	endo205_NES	endo205_FDR	pbmcIH_NES	pbmcIH_FDR	osaAM_NES	osaAM_FDR	osaPM_NES	osaPM_FDR	cpapAM_NES	cpapAM_FDR	cpapPM_NES	cpapPM_FDR	endothelial_NES_mean	endothelial_direction_concordant	OSA_CPAP_reversal_AM	OSA_CPAP_reversal_PM	endothelial_max_FDR	NES	padj	IH_ED_direction_concordant	cross_context_significant	pathway_label	cell_type_label	display_rule	frozen_display_flag
HALLMARK_TNFA_SIGNALING_VIA_NFKB	fibroblast	1.75471492159057	0.0002496312106701	2.13003270263695	2.9971670501793102e-09	0.77229454745369	0.944459172852598	1.58615631773951	0.0018047190678078	-1.11533414386701	0.406994271932469	1.0753695203846	0.445134575569358	-0.812619721545434	0.908173562058527	1.94237381211376	True	False	False	0.0002496312106701	2.30561085640992	3.4504595990762e-10	True	True	TNFα signaling via NF-κB	Fibroblast	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_TNFA_SIGNALING_VIA_NFKB	smooth_muscle	1.75471492159057	0.0002496312106701	2.13003270263695	2.9971670501793102e-09	0.77229454745369	0.944459172852598	1.58615631773951	0.0018047190678078	-1.11533414386701	0.406994271932469	1.0753695203846	0.445134575569358	-0.812619721545434	0.908173562058527	1.94237381211376	True	False	False	0.0002496312106701	1.94714892343565	0.0001073753550964	True	True	TNFα signaling via NF-κB	Smooth muscle	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_TNFA_SIGNALING_VIA_NFKB	macrophage_myeloid	1.75471492159057	0.0002496312106701	2.13003270263695	2.9971670501793102e-09	0.77229454745369	0.944459172852598	1.58615631773951	0.0018047190678078	-1.11533414386701	0.406994271932469	1.0753695203846	0.445134575569358	-0.812619721545434	0.908173562058527	1.94237381211376	True	False	False	0.0002496312106701	1.90304597058052	0.000195512607669	True	True	TNFα signaling via NF-κB	Macrophage	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_TNFA_SIGNALING_VIA_NFKB	T_cell	1.75471492159057	0.0002496312106701	2.13003270263695	2.9971670501793102e-09	0.77229454745369	0.944459172852598	1.58615631773951	0.0018047190678078	-1.11533414386701	0.406994271932469	1.0753695203846	0.445134575569358	-0.812619721545434	0.908173562058527	1.94237381211376	True	False	False	0.0002496312106701	1.15277942319219	0.314401622718053	True	False	TNFα signaling via NF-κB	T cell	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	False
HALLMARK_DNA_REPAIR	ACKR1_endothelial	-2.04578386121601	5.81634339421715e-06	-1.91308861183723	7.1613275385875e-06	0.948161629338091	0.85949920508744	1.63683679809731	0.0020786193422567	1.21752509775918	0.129850691260553	-1.13210493843725	0.394784065079555	-1.21112377819501	0.243018734535171	-1.97943623652662	True	True	True	7.1613275385875e-06	-1.16639884822828	0.238339552238806	True	False	DNA repair	ACKR1 EC	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	False
HALLMARK_DNA_REPAIR	vascular_endothelial	-2.04578386121601	5.81634339421715e-06	-1.91308861183723	7.1613275385875e-06	0.948161629338091	0.85949920508744	1.63683679809731	0.0020786193422567	1.21752509775918	0.129850691260553	-1.13210493843725	0.394784065079555	-1.21112377819501	0.243018734535171	-1.97943623652662	True	True	True	7.1613275385875e-06	-1.4396462735447	0.023537330534928	True	True	DNA repair	Vascular EC	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_DNA_REPAIR	pericyte	-2.04578386121601	5.81634339421715e-06	-1.91308861183723	7.1613275385875e-06	0.948161629338091	0.85949920508744	1.63683679809731	0.0020786193422567	1.21752509775918	0.129850691260553	-1.13210493843725	0.394784065079555	-1.21112377819501	0.243018734535171	-1.97943623652662	True	True	True	7.1613275385875e-06	-1.59705640070911	0.0187646426587856	True	True	DNA repair	Pericyte	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_DNA_REPAIR	fibroblast	-2.04578386121601	5.81634339421715e-06	-1.91308861183723	7.1613275385875e-06	0.948161629338091	0.85949920508744	1.63683679809731	0.0020786193422567	1.21752509775918	0.129850691260553	-1.13210493843725	0.394784065079555	-1.21112377819501	0.243018734535171	-1.97943623652662	True	True	True	7.1613275385875e-06	-1.65477163172734	0.0033204490978276	True	True	DNA repair	Fibroblast	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_DNA_REPAIR	smooth_muscle	-2.04578386121601	5.81634339421715e-06	-1.91308861183723	7.1613275385875e-06	0.948161629338091	0.85949920508744	1.63683679809731	0.0020786193422567	1.21752509775918	0.129850691260553	-1.13210493843725	0.394784065079555	-1.21112377819501	0.243018734535171	-1.97943623652662	True	True	True	7.1613275385875e-06	-1.28702977544277	0.104072963518241	True	False	DNA repair	Smooth muscle	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	False
HALLMARK_DNA_REPAIR	macrophage_myeloid	-2.04578386121601	5.81634339421715e-06	-1.91308861183723	7.1613275385875e-06	0.948161629338091	0.85949920508744	1.63683679809731	0.0020786193422567	1.21752509775918	0.129850691260553	-1.13210493843725	0.394784065079555	-1.21112377819501	0.243018734535171	-1.97943623652662	True	True	True	7.1613275385875e-06	-0.936934320751944	0.769367501110947	True	False	DNA repair	Macrophage	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	False
HALLMARK_DNA_REPAIR	T_cell	-2.04578386121601	5.81634339421715e-06	-1.91308861183723	7.1613275385875e-06	0.948161629338091	0.85949920508744	1.63683679809731	0.0020786193422567	1.21752509775918	0.129850691260553	-1.13210493843725	0.394784065079555	-1.21112377819501	0.243018734535171	-1.97943623652662	True	True	True	7.1613275385875e-06	-1.69705395698301	0.0055989754644788	True	True	DNA repair	T cell	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_INFLAMMATORY_RESPONSE	ACKR1_endothelial	1.46401575932765	0.0199799851048805	1.81768786348796	6.04796867976838e-05	1.25386229431622	0.543595263724435	1.72006197681971	0.0001910191001637	1.43594234197315	0.0243219783515258	-1.0129931670825	0.565867794486216	-1.05979048834022	0.546472365381198	1.64085181140781	True	True	True	0.0199799851048805	1.74921252669102	0.0034217404170302	True	True	Inflammatory response	ACKR1 EC	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_INFLAMMATORY_RESPONSE	vascular_endothelial	1.46401575932765	0.0199799851048805	1.81768786348796	6.04796867976838e-05	1.25386229431622	0.543595263724435	1.72006197681971	0.0001910191001637	1.43594234197315	0.0243219783515258	-1.0129931670825	0.565867794486216	-1.05979048834022	0.546472365381198	1.64085181140781	True	True	True	0.0199799851048805	1.89350185863391	7.73672585966882e-05	True	True	Inflammatory response	Vascular EC	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
HALLMARK_INFLAMMATORY_RESPONSE	pericyte	1.46401575932765	0.0199799851048805	1.81768786348796	6.04796867976838e-05	1.25386229431622	0.543595263724435	1.72006197681971	0.0001910191001637	1.43594234197315	0.0243219783515258	-1.0129931670825	0.565867794486216	-1.05979048834022	0.546472365381198	1.64085181140781	True	True	True	0.0199799851048805	2.06257093567442	0.0001804481617241	True	True	Inflammatory response	Pericyte	All pathways with >=1 pre-existing cross_context_significant row; Hypoxia first, then descending number of flagged compartments and alphabetical ties.	True
